8 6 
1 1 wall
2 1 wall
3 1 wall
4 1 wall
5 1 door
6 1 wall
7 1 wall
8 1 wall
9 1 wall
1 2 switch
2 2 none
3 2 none
4 2 sight
5 2 sight
6 2 none
7 2 none
8 2 box
9 2 wall
1 3 wall
2 3 none
3 3 wall
4 3 sight
5 3 sight
6 3 sight
7 3 sight
8 3 none
9 3 wall
1 4 wall
2 4 none
3 4 wall
4 4 guard
5 4 sight
6 4 sight
7 4 sight
8 4 sight
9 4 wall
1 5 wall
2 5 none
3 5 wall
4 5 wall
5 5 wall
6 5 wall
7 5 wall
8 5 wall
9 5 wall
1 6 wall
2 6 none
3 6 none
4 6 none
5 6 none
6 6 none
7 6 none
8 6 none
9 6 wall
1 7 wall
2 7 wall
3 7 wall
4 7 wall
5 7 wall
6 7 wall
7 7 wall
8 7 wall
9 7 wall
