14 2
1 1 wall
2 1 wall
3 1 wall
4 1 wall
5 1 wall
6 1 wall
7 1 wall
8 1 wall
9 1 wall
10 1 wall
11 1 wall
12 1 wall
13 1 wall
14 1 wall
15 1 wall
1 2 wall
2 2 none
3 2 none
4 2 none
5 2 none
6 2 none
7 2 none
8 2 none
9 2 none
10 2 none
11 2 wall
12 2 none
13 2 none
14 2 none
15 2 wall
1 3 wall
2 3 none
3 3 wall
4 3 wall
5 3 wall
6 3 wall
7 3 wall
8 3 wall
9 3 wall
10 3 none
11 3 wall
12 3 none
13 3 wall
14 3 wall
15 3 wall
1 4 wall
2 4 none
3 4 wall
4 4 none
5 4 none
6 4 none
7 4 none
8 4 none
9 4 wall
10 4 none
11 4 wall
12 4 none
13 4 none
14 4 none
15 4 wall
1 5 wall
2 5 wall
3 5 wall
4 5 wall
5 5 wall
6 5 wall
7 5 wall
8 5 none
9 5 wall
10 5 none
11 5 wall
12 5 wall
13 5 wall
14 5 none
15 5 wall
1 6 wall
2 6 none
3 6 none
4 6 none
5 6 none
6 6 none
7 6 none
8 6 none
9 6 none
10 6 none
11 6 none
12 6 none
13 6 none
14 6 none
15 6 wall
1 7 wall
2 7 none
3 7 wall
4 7 wall
5 7 wall
6 7 wall
7 7 wall
8 7 wall
9 7 wall
10 7 wall
11 7 wall
12 7 wall
13 7 wall
14 7 none
15 7 wall
1 8 wall
2 8 none
3 8 wall
4 8 none
5 8 none
6 8 none
7 8 none
8 8 none
9 8 none
10 8 none
11 8 none
12 8 none
13 8 none
14 8 none
15 8 wall
1 9 wall
2 9 none
3 9 wall
4 9 wall
5 9 wall
6 9 wall
7 9 wall
8 9 wall
9 9 wall
10 9 wall
11 9 wall
12 9 wall
13 9 wall
14 9 wall
15 9 wall
1 10 wall
2 10 none
3 10 wall
4 10 none
5 10 none
6 10 none
7 10 none
8 10 none
9 10 none
10 10 none
11 10 none
12 10 none
13 10 none
14 10 none
15 10 wall
1 11 wall
2 11 none
3 11 wall
4 11 none
5 11 wall
6 11 none
7 11 wall
8 11 wall
9 11 wall
10 11 none
11 11 wall
12 11 wall
13 11 wall
14 11 none
15 11 wall
1 12 wall
2 12 none
3 12 wall
4 12 none
5 12 wall
6 12 none
7 12 wall
8 12 guard
9 12 wall
10 12 none
11 12 none
12 12 none
13 12 wall
14 12 none
15 12 wall
1 13 wall
2 13 none
3 13 wall
4 13 wall
5 13 wall
6 13 none
7 13 wall
8 13 sight
9 13 wall
10 13 wall
11 13 wall
12 13 wall
13 13 wall
14 13 none
15 13 wall
1 14 wall
2 14 none
3 14 none
4 14 none
5 14 none
6 14 none
7 14 wall
8 14 sight
9 14 none
10 14 none
11 14 none
12 14 none
13 14 none
14 14 none
15 14 wall
1 15 wall
2 15 switch
3 15 wall
4 15 wall
5 15 wall
6 15 wall
7 15 wall
8 15 door
9 15 wall
10 15 wall
11 15 wall
13 15 wall
12 15 wall
14 15 wall
15 15 wall
